Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
1,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
2,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
3,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
4,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
5,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
6,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
7,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
8,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
9,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
10,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
11,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
12,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
13,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
14,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
15,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
16,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
17,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
18,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
19,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
20,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
21,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
22,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
23,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
24,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
25,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
26,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
27,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
28,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
29,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
30,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
31,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
32,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
33,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
34,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
35,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
36,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
37,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
38,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
39,3.335,0.0,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335,3.335
